gene,promoter,gene_position,direction,tss,evidence
accA,accAp2,208621.0,+,208326.0,"[""none"", ""EXP""]"
accA,accAp1,208621.0,+,208411.0,"[""COMP"", ""EXP"", ""EXP""]"
accB,accBp1,3405436.0,+,3405140.0,"[""COMP"", ""EXP"", ""COMP""]"
accC,accBp1,3405917.0,+,3405140.0,"[""COMP"", ""EXP"", ""COMP""]"
accB,accBp2,3405436.0,+,3405172.0,"[""none"", ""EXP""]"
accC,accBp2,3405917.0,+,3405172.0,"[""none"", ""EXP""]"
accD,accDp,2433926.0,-,2434015.0,"[""COMP"", ""COMP"", ""EXP""]"
aceA,aceBp,4217109.0,+,4215402.0,"[""COMP"", ""EXP""]"
aceB,aceBp,4215478.0,+,4215402.0,"[""COMP"", ""EXP""]"
aceK,aceBp,4218596.0,+,4215402.0,"[""COMP"", ""EXP""]"
aceE,aceEp2,123017.0,+,122969.0,"[""COMP"", ""EXP"", ""EXP""]"
aceF,aceEp2,125695.0,+,122969.0,"[""COMP"", ""EXP"", ""EXP""]"
aceE,aceEp1,123017.0,+,122969.0,"[""COMP"", ""EXP"", ""EXP""]"
aceF,aceEp1,125695.0,+,122969.0,"[""COMP"", ""EXP"", ""EXP""]"
aceE,pdhRp2,123017.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
aceF,pdhRp2,125695.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
lpd,pdhRp2,127912.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
pdhR,pdhRp2,122092.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
aceE,pdhRp,123017.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
aceF,pdhRp,125695.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
lpd,pdhRp,127912.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
pdhR,pdhRp,122092.0,+,122034.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
ackA,ackAp,2413470.0,+,2413459.0,"[""COMP"", ""COMP""]"
acnA,acnAp2,1335831.0,+,1335781.0,"[""COMP"", ""EXP"", ""COMP"", ""EXP""]"
acnA,acnAp3,1335831.0,+,1335827.0,"[""EXP""]"
acnA,ymiCp,1335831.0,+,1335424.0,"[""COMP"", ""EXP"", ""COMP""]"
ymiC,ymiCp,1335572.0,+,1335424.0,"[""COMP"", ""EXP"", ""COMP""]"
acnA,acnAp1,1335831.0,+,1335424.0,"[""COMP"", ""EXP"", ""COMP""]"
ymiC,acnAp1,1335572.0,+,1335424.0,"[""COMP"", ""EXP"", ""COMP""]"
acnB,acnBp1,131615.0,+,131519.0,"[""COMP"", ""EXP"", ""COMP"", ""EXP""]"
acnB,acnBp2,131615.0,+,131564.0,"[""EXP""]"
acpP,acpPp,1151615.0,+,1151575.0,"[""none"", ""EXP"", ""COMP""]"
fabF,acpPp,1151939.0,+,1151575.0,"[""none"", ""EXP"", ""COMP""]"
acpS,rncp,2700998.0,-,2704223.0,"[""COMP"", ""COMP"", ""EXP""]"
era,rncp,2703386.0,-,2704223.0,"[""COMP"", ""COMP"", ""EXP""]"
pdxJ,rncp,2701729.0,-,2704223.0,"[""COMP"", ""COMP"", ""EXP""]"
recO,rncp,2702469.0,-,2704223.0,"[""COMP"", ""COMP"", ""EXP""]"
rnc,rncp,2704063.0,-,2704223.0,"[""COMP"", ""COMP"", ""EXP""]"
acpS,pdxJp,2700998.0,-,2701813.0,"[""none"", ""EXP""]"
pdxJ,pdxJp,2701729.0,-,2701813.0,"[""none"", ""EXP""]"
acrA,acrAp,485619.0,-,485698.0,"[""COMP"", ""COMP"", ""EXP""]"
acrB,acrAp,484403.0,-,485698.0,"[""COMP"", ""COMP"", ""EXP""]"
acrB,acrBp,484403.0,-,484685.0,"[""EXP""]"
acrD,acrDp,2587595.0,+,2587475.0,"[""COMP"", ""COMP""]"
acrD,acrDp2,2587595.0,+,2587550.0,"[""COMP"", ""COMP"", ""EXP""]"
acrE,acrEp,3413864.0,+,3413702.0,"[""COMP"", ""COMP""]"
acrF,acrEp,3415033.0,+,3413702.0,"[""COMP"", ""COMP""]"
acrR,acrRp,485761.0,+,485699.0,"[""COMP"", ""COMP""]"
acrZ,acrZp,794773.0,+,794751.0,"[""none"", ""EXP""]"
acs,acsp1,4287371.0,-,4287595.0,"[""COMP"", ""COMP""]"
actP,acsp1,4284902.0,-,4287595.0,"[""COMP"", ""COMP""]"
yjcH,acsp1,4285213.0,-,4287595.0,"[""COMP"", ""COMP""]"
acs,acsp2,4287371.0,-,4287391.0,"[""none"", ""COMP"", ""EXP""]"
actP,acsp2,4284902.0,-,4287391.0,"[""none"", ""COMP"", ""EXP""]"
yjcH,acsp2,4285213.0,-,4287391.0,"[""none"", ""COMP"", ""EXP""]"
acs,acsp,4287371.0,-,4287391.0,"[""none"", ""COMP"", ""EXP""]"
actP,acsp,4284902.0,-,4287391.0,"[""none"", ""COMP"", ""EXP""]"
yjcH,acsp,4285213.0,-,4287391.0,"[""none"", ""COMP"", ""EXP""]"
actP,actPp,4284902.0,-,4284935.0,"[""COMP"", ""COMP"", ""EXP""]"
ada,adap2,2310405.0,-,2310427.0,"[""COMP"", ""EXP""]"
alkB,adap2,2309341.0,-,2310427.0,"[""COMP"", ""EXP""]"
ada,adap,2310405.0,-,2310427.0,"[""COMP"", ""EXP""]"
alkB,adap,2309341.0,-,2310427.0,"[""COMP"", ""EXP""]"
add,addp6,1702233.0,+,1702202.0,"[""COMP""]"
adeD,adep,3843964.0,+,3843910.0,"[""COMP"", ""EXP"", ""COMP""]"
adhE,adhEp1,1298121.0,-,1298413.0,"[""COMP"", ""EXP"", ""EXP""]"
adhE,adhEp2,1298121.0,-,1298309.0,"[""COMP"", ""COMP"", ""EXP"", ""EXP""]"
adhE,adhEp,1298121.0,-,1298413.0,"[""COMP"", ""EXP"", ""EXP""]"
adiA,adiAp,4340521.0,-,4340556.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
adiC,adiCp7,4337031.0,-,4337202.0,"[""COMP""]"
adiY,adiYp,4337929.0,-,4338042.0,"[""none"", ""EXP"", ""COMP""]"
adk,adkp,497175.0,+,497139.0,"[""none"", ""COMP""]"
aer,aerp,3219076.0,-,3219120.0,"[""COMP"", ""COMP"", ""EXP""]"
aes,aesp,499973.0,-,500051.0,"[""none"", ""EXP""]"
agaA,kbaZp,3281122.0,+,3278866.0,"[""COMP"", ""EXP""]"
agaV,kbaZp,3280217.0,+,3278866.0,"[""COMP"", ""EXP""]"
agaW,kbaZp,3280701.0,+,3278866.0,"[""COMP"", ""EXP""]"
kbaZ,kbaZp,3278914.0,+,3278866.0,"[""COMP"", ""EXP""]"
agaB,agaSp,3284170.0,+,3281889.0,"[""COMP"", ""COMP"", ""EXP""]"
agaC,agaSp,3284685.0,+,3281889.0,"[""COMP"", ""COMP"", ""EXP""]"
agaD,agaSp,3285478.0,+,3281889.0,"[""COMP"", ""COMP"", ""EXP""]"
agaI,agaSp,3286270.0,+,3281889.0,"[""COMP"", ""COMP"", ""EXP""]"
agaS,agaSp,3281976.0,+,3281889.0,"[""COMP"", ""COMP"", ""EXP""]"
kbaY,agaSp,3283143.0,+,3281889.0,"[""COMP"", ""COMP"", ""EXP""]"
agaR,agaRp,3278665.0,-,3278703.0,"[""COMP"", ""EXP"", ""COMP""]"
agp,agpp,1065585.0,+,1065559.0,"[""none"", ""EXP""]"
agrA,agrAp,3648063.0,+,3648063.0,"[""none"", ""EXP""]"
agrB,agrBp,3648294.0,+,3648294.0,"[""none"", ""EXP""]"
ahpC,ahpCp2,638945.0,+,638693.0,"[""COMP"", ""EXP""]"
ahpF,ahpCp2,639753.0,+,638693.0,"[""COMP"", ""EXP""]"
ahpC,ahpCp1,638945.0,+,638921.0,"[""COMP"", ""COMP"", ""EXP""]"
ahpF,ahpCp1,639753.0,+,638921.0,"[""COMP"", ""COMP"", ""EXP""]"
ahpF,ahpFp,639753.0,+,639002.0,"[""COMP"", ""EXP"", ""COMP""]"
aidB,aidBp1,4414275.0,+,4414247.0,"[""COMP"", ""EXP""]"
aidB,aidBp2,4414275.0,+,4414247.0,"[""COMP"", ""EXP""]"
alaA,alaAp9,2407561.0,+,2407408.0,"[""COMP""]"
alaC,alaCp,2498295.0,-,2498399.0,"[""COMP"", ""COMP""]"
alaE,alaEp,2799164.0,+,2799084.0,"[""COMP"", ""EXP""]"
alaS,alaSp,2822011.0,-,2822090.0,"[""none"", ""EXP""]"
alaT,rrsAp1,4037260.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
ileT,rrsAp1,4037141.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
rrfA,rrsAp1,4040517.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
rrlA,rrsAp1,4037519.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
rrsA,rrsAp1,4035531.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
alaT,rrsAp,4037260.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
ileT,rrsAp,4037141.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
